Address,bMonsters,rMonsters
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220286?gameHash=12e1d54cfe22e77a,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220287?gameHash=4130eb7a58a6caa0,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220301?gameHash=8e6ffa50131433a6,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220316?gameHash=c92c0a34bbf85e1e,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220372?gameHash=95a2df79e2bdfbb2,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220380?gameHash=19861e64106bb416,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220447?gameHash=356f635ac8cf3503,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220450?gameHash=e55a3410813b3d6b,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220457?gameHash=0584afd5e1e64609,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230181?gameHash=92fa5f988e73cf56,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230199?gameHash=5c3d90d028b09786,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250186?gameHash=7b70754981e004a0,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250190?gameHash=b806cda6917302b7,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250205?gameHash=0d4d072f964695fd,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250257?gameHash=aa8433dce3bd8921,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250267?gameHash=6d073e13ca33262d,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250326?gameHash=0a4f4de22d99d657,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250330?gameHash=027acf1d588653ab,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/250331?gameHash=3642eaf41f8dec23,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260156?gameHash=7d3213d47a57fafb,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260245?gameHash=b6e29ed1445076bc,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260249?gameHash=c003598b944b9e93,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260250?gameHash=a63f1281bd5ea55b,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/270271?gameHash=ebee570d174e3c80,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280053?gameHash=88e1946159cea2f4,2,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280065?gameHash=e5cdfb6583e9908f,1,2
