,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills,bMonsters,rMonsters
4951,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300236?gameHash=2111c062ba8345e5,-3868.0,1,0,7,6,0,1,0,1,0,1,2,1
4952,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300236?gameHash=2111c062ba8345e5,-3868.0,1,0,7,6,0,0,1,1,0,1,2,1
4953,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300236?gameHash=2111c062ba8345e5,-3868.0,1,0,7,6,1,0,0,1,0,1,2,1
4954,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300236?gameHash=2111c062ba8345e5,-3868.0,1,0,7,6,1,0,0,1,0,1,2,1
4955,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300237?gameHash=2419bdbb99263a2e,-2707.0,0,1,7,6,1,0,0,1,0,0,1,1
4956,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300237?gameHash=2419bdbb99263a2e,-2707.0,0,1,7,6,0,0,1,1,0,0,1,1
4957,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300237?gameHash=2419bdbb99263a2e,-2707.0,0,1,7,6,0,1,0,1,0,0,1,1
4958,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300238?gameHash=b4aee431a6af1b5c,-1037.0,1,0,2,2,0,0,1,2,0,1,1,1
4959,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300238?gameHash=b4aee431a6af1b5c,-1037.0,1,0,2,2,1,0,0,2,0,1,1,1
4960,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300238?gameHash=b4aee431a6af1b5c,-1037.0,1,0,2,2,0,0,1,2,0,1,1,1
4961,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300238?gameHash=b4aee431a6af1b5c,-1037.0,1,0,2,2,0,1,0,2,0,1,1,1
4962,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290254?gameHash=9ffa6314bd1c1988,-3357.0,1,0,6,1,0,1,0,0,0,1,1,1
4963,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290254?gameHash=9ffa6314bd1c1988,-3357.0,1,0,6,1,1,0,0,0,0,1,1,1
4964,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290254?gameHash=9ffa6314bd1c1988,-3357.0,1,0,6,1,0,0,1,0,0,1,1,1
4965,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290275?gameHash=17e0af24f080a620,3442.0,0,1,1,5,0,0,1,1,1,1,1,1
4966,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290275?gameHash=17e0af24f080a620,3442.0,0,1,1,5,1,0,0,1,1,1,1,1
4967,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300298?gameHash=1490c1205a58e457,-3343.0,1,0,7,3,0,1,0,1,0,0,2,1
4968,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002300298?gameHash=1490c1205a58e457,-3343.0,1,0,7,3,0,0,1,1,0,0,2,1
4969,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290296?gameHash=c68501b0186b6544,-2947.0,1,0,7,1,0,0,1,1,0,0,1,2
4970,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002290296?gameHash=c68501b0186b6544,-2947.0,1,0,7,1,0,1,0,1,0,0,1,2
4971,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002030139?gameHash=9c3656d40bb9e987,1055.0,1,0,5,4,0,0,1,1,1,0,1,1
4972,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002030140?gameHash=a1b977cfdf95cbcc,-1297.0,0,1,7,5,1,0,0,0,0,1,1,2
4973,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002030140?gameHash=a1b977cfdf95cbcc,-1297.0,0,1,7,5,0,1,0,0,0,1,1,2
4974,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1002030140?gameHash=a1b977cfdf95cbcc,-1297.0,0,1,7,5,1,0,0,0,0,1,1,2
